lat,lon,name,type
59.933352919772226,10.750047372473425,142,b0
59.93334,10.75,143,b1
59.933332250334956,10.749949627158452,144,b2
59.93332774966505,10.749920372804029,145,b0
59.93332,10.74987,146,b1
59.933316817038786,10.749819072610084,147,b2
59.93331318296121,10.749760927368907,148,b0
59.93331,10.749710000000002,149,b1
59.93331,10.749659701369854,150,b2
59.93331,10.749640298630146,151,b0
59.93331,10.74959,152,b1
59.93331,10.749539701369853,153,b2
59.93331,10.749510298630147,154,b0
59.93331,10.74946,155,b1
59.93328480465486,10.749452801318387,156,b2
59.933265195345136,10.749447198658467,157,b0
59.933240000000005,10.74944,158,b1
59.933214801833955,10.749432440530052,159,b2
59.93316519816605,10.74941755942968,160,b0
59.93314,10.74941,161,b1
59.93311480183362,10.749402440528266,162,b2
